id,submission_time,view_number,vote_number,title,message,image
0,1493368154,29,7,"How to make lists in Python?","I am totally new to this, any hints?",
1,1493068124,15,9,"Wordpress loading multiple jQuery Versions","I developed a plugin that uses the jquery booklet plugin (http://builtbywill.com/booklet/#/) this plugin binds a function to $ so I cann call $('.myBook').booklet();

I could easy managing the loading order with wp_enqueue_script so first I load jquery then I load booklet so everything is fine.

BUT in my theme i also using jquery via webpack so the loading order is now following:

jquery
booklet
app.js (bundled file with webpack, including jquery)","images/image1.png"
2,1493015432,1364,57,"Drawing canvas with an image picked with Cordova Camera Plugin","I'm getting an image from device and drawing a canvas with filters using Pixi JS. It works all well using computer to get an image. But when I'm on IOS, it throws errors such as cross origin issue, or that I'm trying to use an unknown format.

This is the code I'm using to draw the image (that works on web/desktop but not cordova built ios app)",
3,1493368155,0,0,dsadasd,sadasdasd
4,1493368156,0,0,asdasdsa,asdasdasda
5,1493368157,0,0,helloooo,daaaa
6,1493368158,0,0,dsddd,dddd
7,1493368159,0,0,d,ddd
8,1493368160,0,0,1231231,aaaaaa,<FileStorage: 'camasi1.jpg' ('image/jpeg')>
9,1493368161,0,0,asdasd,asdasdasd,<FileStorage: 'a17132461_10151252902411796_1086448287_o.jpg' ('image/jpeg')>
10,1493368162,0,0,asdasd,asdasd,<FileStorage: 'a17132461_10151252902411796_1086448287_o.jpg' ('image/jpeg')>
11,1493368163,0,0,asdasd,sadasd,camasi1.jpg
12,1579604969,0,0,12312312,123123123,cover.jpg
